Model,CV_Score_Mean,CV_Score_Std
LogReg_C0.01_lbfgs,0.80356794515705,0.00071783426520896
RF_n400_d8,0.80356794515705,0.00071783426520896
ET_n400_d8,0.80356794515705,0.00071783426520896
RF_n400_d15,0.80356794515705,0.00071783426520896
ET_n400_d15,0.80356794515705,0.00071783426520896
GB_n100_lr0.01,0.80356794515705,0.00071783426520896
GB_n200_lr0.01,0.80356794515705,0.00071783426520896
GB_n100_lr0.05,0.80356794515705,0.00071783426520896
GB_n200_lr0.05,0.80356794515705,0.00071783426520896
GB_n100_lr0.1,0.80356794515705,0.00071783426520896
GB_n200_lr0.1,0.80356794515705,0.00071783426520896
SVC_rbf_C1,0.80356794515705,0.00071783426520896
SVC_poly_C0.1,0.80356794515705,0.00071783426520896
SVC_rbf_C0.1,0.80356794515705,0.00071783426520896
SVC_linear_C0.1,0.80356794515705,0.00071783426520896
DT_depth8_entropy,0.80356794515705,0.00071783426520896
DT_depth8_gini,0.80356794515705,0.00071783426520896
LogReg_C0.01_liblinear,0.80356794515705,0.00071783426520896
